2026-08-06 19:08:15 | INFO    | amr.request      | f8aac938 | GET /api/stats/overview → 200 (1.8ms) role=OPERATOR
2026-08-06 19:08:15 | INFO    | amr.request      | c9a91169 | GET /api/stats/overview → 200 (1.8ms) role=OPERATOR
2026-08-06 19:08:15 | INFO    | amr.request      | ec51195e | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:08:30 | INFO    | amr.request      | f4958dc6 | GET /api/stats/overview → 200 (2.3ms) role=OPERATOR
2026-08-06 19:08:30 | INFO    | amr.request      | 471f021a | GET /api/stats/overview → 200 (2.1ms) role=OPERATOR
2026-08-06 19:08:30 | INFO    | amr.request      | 60116864 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:08:30 | INFO    | amr.request      | f02fd825 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:08:45 | INFO    | amr.request      | 27697360 | GET /api/stats/overview → 200 (1.8ms) role=OPERATOR
2026-08-06 19:08:45 | INFO    | amr.request      | e22659c3 | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:08:45 | INFO    | amr.request      | c8a301d8 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:08:45 | INFO    | amr.request      | 77e14868 | GET /api/stats/overview → 200 (1.7ms) role=OPERATOR
2026-08-06 19:09:00 | INFO    | amr.request      | fea0fc2f | GET /api/stats/overview → 200 (2.9ms) role=OPERATOR
2026-08-06 19:09:00 | INFO    | amr.request      | 16538bd0 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:09:00 | INFO    | amr.request      | 3db667cc | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:09:00 | INFO    | amr.request      | 3e2f202e | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:09:15 | INFO    | amr.request      | 19c6503b | GET /api/stats/overview → 200 (2.1ms) role=OPERATOR
2026-08-06 19:09:15 | INFO    | amr.request      | 40d405ee | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:09:15 | INFO    | amr.request      | 6c6924a9 | GET /api/stats/overview → 200 (2.3ms) role=OPERATOR
2026-08-06 19:09:15 | INFO    | amr.request      | 7edd136c | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:09:30 | INFO    | amr.request      | 98e9bfc9 | GET /api/stats/overview → 200 (3.4ms) role=OPERATOR
2026-08-06 19:09:30 | INFO    | amr.request      | 21dae579 | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:09:30 | INFO    | amr.request      | 04451462 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:09:30 | INFO    | amr.request      | de2851c1 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:09:45 | INFO    | amr.request      | 3489cee7 | GET /api/stats/overview → 200 (2.4ms) role=OPERATOR
2026-08-06 19:09:45 | INFO    | amr.request      | af74dad4 | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:09:45 | INFO    | amr.request      | f69dcd35 | GET /api/stats/overview → 200 (1.6ms) role=OPERATOR
2026-08-06 19:09:45 | INFO    | amr.request      | 3e369ff6 | GET /api/stats/overview → 200 (2.6ms) role=OPERATOR
2026-08-06 19:09:51 | INFO    | amr.ws           | -        | WS 해제 — 현재 1개 연결
2026-08-06 19:09:51 | INFO    | amr.ws           | -        | WS 해제 — 현재 0개 연결
2026-08-06 19:09:51 | INFO    | amr.ws           | -        | 브로드캐스트 소비 루프 종료
2026-08-06 19:09:51 | INFO    | amr.main         | -        | 서버 종료
2026-08-06 19:10:12 | INFO    | amr.main         | -        | ======================================================================
2026-08-06 19:10:12 | INFO    | amr.main         | -        | AMR 순찰·이상감지 관제 API v1.0.0 기동
2026-08-06 19:10:12 | INFO    | amr.db           | -        | DB 초기화 완료 — 테이블 20개 (sqlite:////home/rokey/DBcenter-PT-Bot/hmi/backend/data/amr.db)
2026-08-06 19:10:12 | INFO    | amr.main         | -        | REST 14개 라우터 · WS /ws/monitor 준비 완료
2026-08-06 19:10:12 | INFO    | amr.main         | -        | ======================================================================
2026-08-06 19:10:12 | INFO    | amr.ws           | -        | 브로드캐스트 소비 루프 시작
2026-08-06 19:10:12 | INFO    | amr.ws           | -        | WS 접속 — 현재 1개 연결
2026-08-06 19:10:12 | INFO    | amr.ws           | -        | WS 접속 — 현재 2개 연결
2026-08-06 19:10:12 | INFO    | amr.ws           | -        | WS 구독 변경 → ['DETECTION', 'EVENT', 'LOG', 'MISSION_STATUS', 'ROBOT_STATUS', 'SUPPRESSION_STATUS']
2026-08-06 19:10:12 | INFO    | amr.ws           | -        | WS 구독 변경 → ['DETECTION', 'EVENT', 'LOG', 'MISSION_STATUS', 'ROBOT_STATUS', 'SUPPRESSION_STATUS']
2026-08-06 19:10:15 | INFO    | amr.request      | 41a22d5f | GET /api/stats/overview → 200 (5.2ms) role=OPERATOR
2026-08-06 19:10:15 | INFO    | amr.request      | 0bc440ec | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:10:15 | INFO    | amr.request      | be46b8f4 | GET /api/stats/overview → 200 (1.6ms) role=OPERATOR
2026-08-06 19:10:15 | INFO    | amr.request      | d58599b2 | GET /api/stats/overview → 200 (1.5ms) role=OPERATOR
2026-08-06 19:10:23 | INFO    | amr.request      | 5b3776c2 | GET /api/events → 200 (3.4ms) role=-
2026-08-06 19:10:30 | INFO    | amr.request      | 0fadff13 | GET /api/stats/overview → 200 (2.0ms) role=OPERATOR
